X_Axis,Y_Axis,Heading
980,1655,1.04
1055,1565,0.98
945,1660,1.05
980,1595,1.02
995,1585,1.01
1010,1665,1.03
890,1687,1.09
960,1595,1.03
1020,1615,1.01
940,1605,1.04
995,1590,1.01
945,1600,1.04
1000,1580,1.01
990,1600,1.02
955,1600,1.03
990,1615,1.02
1035,1610,1
975,1665,1.04
1045,1655,1.01
960,1620,1.04
1010,1615,1.01
1035,1650,1.01
905,1645,1.07
1025,1615,1.01
980,1600,1.02
975,1580,1.02
960,1560,1.02
900,1605,1.06
955,1655,1.05
900,1645,1.07
940,1707,1.07
975,1645,1.04
875,1595,1.07
870,1707,1.1
1020,1635,1.01
955,1727,1.07
1040,1717,1.03
1010,1665,1.03
980,1685,1.04
885,1610,1.07
920,1640,1.06
1040,1605,1
1010,1635,1.02
1005,1590,1.01
980,1550,1.01
1000,1610,1.01
975,1615,1.03
1000,1605,1.01
975,1615,1.03
965,1630,1.04
965,1500,1
1145,1680,0.97
1020,1555,0.99
855,1625,1.09
1015,1655,1.02
1000,1660,1.03
1025,1645,1.01
895,1635,1.07
1050,1687,1.01
920,1635,1.06
940,1675,1.06
865,1595,1.07
975,1610,1.03
1035,1615,1
995,1742,1.05
1045,1640,1
990,1565,1.01
1015,1555,0.99
980,1585,1.02
965,1697,1.05
965,1680,1.05
975,1565,1.01
1020,1670,1.02
1055,1670,1.01
1020,1670,1.02
960,1590,1.03
1005,1630,1.02
1055,1685,1.01
1045,1570,0.98
1040,1655,1.01
955,1615,1.04
990,1630,1.02
1035,1645,1.01
1030,1600,1
895,1640,1.07
925,1660,1.06
1020,1670,1.02
995,1655,1.03
985,1660,1.04
1025,1555,0.99
890,1590,1.06
975,1505,1
1010,1610,1.01
965,1692,1.05
995,1625,1.02
935,1697,1.07
915,1625,1.06
975,1640,1.03
970,1675,1.05
980,1635,1.03
1015,1610,1.01
995,1630,1.02
945,1650,1.05
1020,1610,1.01
1020,1650,1.02
1005,1585,1.01
935,1600,1.04
975,1635,1.03
945,1675,1.06
1065,1707,1.01
1070,1645,0.99
930,1600,1.04
1005,1640,1.02
985,1675,1.04
925,1655,1.06
885,1650,1.08
945,1625,1.04
865,1560,1.06
1025,1600,1
985,1590,1.02
940,1675,1.06
1035,1680,1.02
1060,1595,0.98
960,1620,1.04
1025,1570,0.99
900,1665,1.08
1000,1615,1.02
980,1670,1.04
995,1610,1.02
960,1635,1.04
955,1620,1.04
975,1630,1.03
885,1625,1.07
1020,1697,1.03
945,1585,1.03
1035,1630,1.01
970,1570,1.02
1005,1635,1.02
995,1555,1
940,1605,1.04
910,1605,1.06
940,1515,1.02
1020,1620,1.01
955,1545,1.02
940,1600,1.04
1000,1610,1.01
925,1535,1.03
905,1625,1.06
960,1560,1.02
980,1605,1.02
940,1630,1.05
1000,1670,1.03
975,1595,1.02
970,1630,1.03
1115,1625,0.97
955,1645,1.04
895,1640,1.07
1005,1605,1.01
970,1620,1.03
1020,1610,1.01
960,1660,1.05
1040,1610,1
845,1610,1.09
915,1600,1.05
975,1615,1.03
1010,1620,1.01
