X_Axis,Y_Axis, Z_Axis
-3540,-2200,30716
-3370,-130,28156
-4398,-1856,30720
-4260,-2150,30716
-4770,-2120,30716
-4160,-2020,30716
-3320,-2000,30716
-3960,-2300,30716
-4092,-2020,30720
-4210,-2220,30716
-4210,-2020,30716
-4080,-300,28156
-3630,-2410,30716
-4560,-2000,30716
-4840,-2200,30716
-4030,-2270,30716
-4060,-2050,30716
-3490,-2220,30716
-4870,-2320,30716
-3020,-2270,30716
-4660,-1035,29440
-3540,-2300,30716
-4486,-2408,30720
-3604,-2165,30720
-3255,-2431,30720
-3390,-2100,30716
-3570,-2120,30716
-4080,-2270,30716
-4460,0,28156
-3680,-2170,30716
-3348,-1953,30464
-4090,-1850,30720
-4234,-650,28672
-3710,-2100,30716
-3830,-2170,30716
-3730,-2150,30716
-3910,-1920,30716
-3620,-2210,30719
-3270,-2100,30716
-4202,-2118,30720
-3570,-2220,30716
-4360,-1950,30716
-4660,-1590,30716
-4010,-180,28156
-3367,-2219,30720
-4330,-1820,30712
-3540,-2300,30716
-3610,-2150,30716
-4816,-2228,30720
-3530,-1545,29952
-4537,-2454,30720
-3020,-2250,30716
-3730,-2250,30716
-3575,-1300,29440
-3020,-2440,30716
-2922,-1416,29696
-4660,-2170,30716
-3930,-2360,30716
-4596,-2294,30720
-4729,-2228,30720
-3340,-2490,30716
-4720,-2070,30716
-3170,-1950,30716
-4380,-2062,30720
-4410,-2250,30716
-4210,-2300,30716
-3930,-2170,30716
-4375,-1970,30720
-3710,-2460,30716
-4028,-2242,30720
-3910,-2050,30716
-3526,-2206,30720
-4080,-2070,30716
-3860,-2540,30716
-4295,-2213,30720
-4940,0,28152
-4400,-1883,30720
-3660,-1970,30716
-3358,-2386,30720
-4480,0,28156
-4380,-80,28156
-3242,-2088,30720
-3830,-1820,30716
-3490,-2340,30720
-3320,-2440,30716
-3470,-1970,30716
-4560,-2460,30716
-3960,-2150,30716
-3590,-2300,30716
-4330,-2440,30716
-4130,-2150,30716
-3730,-2150,30716
-4180,-1970,30716
-3910,-30,28156
-3040,-2440,30716
-4580,-2020,30716
-3456,-886,29184
-4130,-1900,30716
-3730,-1870,30716
-3918,-1222,29183
-4840,-1920,30716
-4139,-2144,30720
-3382,-712,28672
-4180,-100,28156
-3710,-2100,30712
-4759,-2418,30720
-3520,-2100,30716
-3520,-2150,30716
-3470,-2100,30716
-4080,-1920,30716
-4230,-2270,30716
-4180,-2510,30716
-3940,-2312,30720
-3860,-2120,30716
-3895,-2122,30720
-3140,-2410,30716
-3910,-2150,30716
-3930,-2020,30716
-3910,-2320,30716
-3070,-1970,30712
-3525,-2187,30720
-3070,-1740,30716
-3194,-2402,30720
-3680,-2200,30716
-3220,-2150,30716
-3320,-2250,30716
