X_Axis,Y_Axis,Z_Axis
4420,-5956,28160
4134,-6270,28160
4540,-5930,28156
4360,-6452,28156
4290,-6200,28152
4370,-5960,28156
4630,-6364,28160
3860,-5780,28156
1580,-5450,28156
4470,-6020,28156
4756,-6029,28160
4490,-5960,28156
4550,-5784,28160
4365,-6065,28160
3125,-6000,28160
4170,-6070,28156
4412,-6200,28160
4440,-6580,28156
4440,-5980,28156
4090,-6250,28156
4396,-6100,28160
4170,-6020,28156
4477,-6122,28160
4470,-6120,28160
4540,-6100,28156
4473,-6170,28160
4436,-5908,28160
4546,-5958,28160
4470,-5880,28156
4210,-6278,28159
4090,-5810,28156
4570,-5910,28156
3920,-5630,28156
4490,-5930,28156
4540,-5930,28156
4740,-6300,28156
4540,-6170,28156
4770,-6100,28156
4370,-6150,28156
4320,-6324,28160
4290,-6250,28156
4840,-6120,28156
4520,-6070,28152
4170,-5610,28156
4290,-6220,28156
4540,-5810,28156
4540,-6350,28156
4370,-5960,28156
4620,-6150,28156
4418,-6210,28160
4490,-6170,28156
3990,-6050,28156
4420,-5910,28156
4790,-6170,28156
4120,-5860,28156
3860,-6220,28156
4201,-6213,28160
4420,-5780,28156
4690,-5910,28156
4355,-5994,28160
4470,-6250,28156
2030,-5880,28152
4390,-5980,28156
4170,-6050,28156
2060,-6350,28156
4440,-6100,28156
4920,-5760,28156
4340,-6050,28156
4220,-6350,28156
4220,-6270,28156
4470,-6120,28156
4390,-5980,28156
4440,-5960,28156
2060,-5910,28156
4595,-5812,28160
4520,-6300,28156
4294,-6172,28160
4578,-5989,28160
4390,-6107,28160
4490,-6050,28156
4632,-6227,28160
5030,-6220,28156
4340,-6050,28156
4320,-6050,28156
4400,-5746,28160
4390,-6170,28156
4470,-5980,28156
4090,-6070,28156
4570,-6020,28156
4590,-6200,28156
4420,-6120,28156
3990,-5960,28156
4490,-5999,28160
4490,-6070,28156
4490,-5934,28160
4255,-6443,28160
4550,-6569,28160
4140,-6070,28156
4570,-6290,28160
4422,-6285,28160
4240,-5810,28156
4320,-6048,28160
4520,-6070,28156
4320,-6120,28156
4192,-5772,28160
3730,-6220,28156
4290,-6185,28160
4440,-5780,28156
4590,-6580,28156
4470,-6470,28156
4550,-6103,28160
4640,-6170,28156
4870,-6610,28156
4685,-5975,28160
4390,-6070,28156
4440,-6300,28152
4590,-6170,28156
4170,-6200,28156
4670,-6450,28156
4490,-6170,28156
4681,-5911,28160
4360,-6036,28160
4380,-6222,28160
4690,-6050,28156
4530,-6055,28160
4540,-5910,28156
4690,-6200,28156
5010,-5860,28156
