 XAxis = ,-361.00, YAxis = ,-361.00, Heading = ,3.93, Degress = ,225.00
 XAxis = ,-360.00, YAxis = ,-360.00, Heading = ,3.93, Degress = ,225.00
 XAxis = ,332.00, YAxis = ,-360.00, Heading = ,5.46, Degress = ,312.68
 XAxis = ,-360.00, YAxis = ,-289.00, Heading = ,3.82, Degress = ,218.76
 XAxis = ,-323.00, YAxis = ,360.00, Heading = ,2.30, Degress = ,131.90
 XAxis = ,347.00, YAxis = ,-360.00, Heading = ,5.48, Degress = ,313.95
 XAxis = ,-360.00, YAxis = ,-360.00, Heading = ,3.93, Degress = ,225.00
 XAxis = ,92.00, YAxis = ,-295.00, Heading = ,5.01, Degress = ,287.32
 XAxis = ,331.00, YAxis = ,360.00, Heading = ,0.83, Degress = ,47.40
 XAxis = ,69.00, YAxis = ,-263.00, Heading = ,4.97, Degress = ,284.70
 XAxis = ,235.00, YAxis = ,-269.00, Heading = ,5.43, Degress = ,311.14
 XAxis = ,269.00, YAxis = ,-222.00, Heading = ,5.59, Degress = ,320.47
 XAxis = ,-315.00, YAxis = ,-264.00, Heading = ,3.84, Degress = ,219.97
 XAxis = ,-360.00, YAxis = ,-140.00, Heading = ,3.51, Degress = ,201.25
 XAxis = ,-360.00, YAxis = ,-206.00, Heading = ,3.66, Degress = ,209.78
 XAxis = ,121.00, YAxis = ,-191.00, Heading = ,5.28, Degress = ,302.35
 XAxis = ,-360.00, YAxis = ,360.00, Heading = ,2.36, Degress = ,135.00
 XAxis = ,-300.00, YAxis = ,309.00, Heading = ,2.34, Degress = ,134.15
 XAxis = ,-246.00, YAxis = ,-107.00, Heading = ,3.55, Degress = ,203.51
 XAxis = ,-337.00, YAxis = ,-55.00, Heading = ,3.30, Degress = ,189.27
 XAxis = ,-79.00, YAxis = ,-299.00, Heading = ,4.45, Degress = ,255.20
 XAxis = ,-119.00, YAxis = ,-315.00, Heading = ,4.35, Degress = ,249.30
 XAxis = ,-152.00, YAxis = ,-309.00, Heading = ,4.26, Degress = ,243.81
 XAxis = ,-155.00, YAxis = ,-324.00, Heading = ,4.27, Degress = ,244.43
 XAxis = ,-153.00, YAxis = ,-309.00, Heading = ,4.25, Degress = ,243.66
 XAxis = ,-138.00, YAxis = ,-317.00, Heading = ,4.30, Degress = ,246.48
 XAxis = ,-99.00, YAxis = ,-310.00, Heading = ,4.40, Degress = ,252.29
 XAxis = ,-89.00, YAxis = ,-299.00, Heading = ,4.42, Degress = ,253.42
 XAxis = ,-150.00, YAxis = ,-301.00, Heading = ,4.25, Degress = ,243.51
 XAxis = ,-153.00, YAxis = ,-312.00, Heading = ,4.26, Degress = ,243.88
 XAxis = ,-148.00, YAxis = ,-288.00, Heading = ,4.24, Degress = ,242.80
 XAxis = ,-187.00, YAxis = ,-290.00, Heading = ,4.14, Degress = ,237.18
 XAxis = ,-103.00, YAxis = ,-349.00, Heading = ,4.43, Degress = ,253.56
 XAxis = ,-125.00, YAxis = ,-314.00, Heading = ,4.33, Degress = ,248.29
 XAxis = ,-92.00, YAxis = ,-317.00, Heading = ,4.43, Degress = ,253.82
 XAxis = ,-184.00, YAxis = ,-266.00, Heading = ,4.11, Degress = ,235.33
 XAxis = ,-127.00, YAxis = ,-302.00, Heading = ,4.31, Degress = ,247.19
 XAxis = ,-137.00, YAxis = ,-308.00, Heading = ,4.29, Degress = ,246.02
 XAxis = ,-145.00, YAxis = ,-334.00, Heading = ,4.30, Degress = ,246.53
 XAxis = ,-125.00, YAxis = ,-324.00, Heading = ,4.34, Degress = ,248.90
 XAxis = ,-101.00, YAxis = ,-288.00, Heading = ,4.38, Degress = ,250.67
 XAxis = ,-153.00, YAxis = ,-309.00, Heading = ,4.25, Degress = ,243.66
 XAxis = ,-134.00, YAxis = ,-293.00, Heading = ,4.28, Degress = ,245.42
 XAxis = ,-195.00, YAxis = ,-340.00, Heading = ,4.19, Degress = ,240.16
 XAxis = ,-228.00, YAxis = ,-293.00, Heading = ,4.05, Degress = ,232.11
 XAxis = ,-153.00, YAxis = ,-324.00, Heading = ,4.27, Degress = ,244.72
 XAxis = ,-166.00, YAxis = ,-337.00, Heading = ,4.25, Degress = ,243.78
 XAxis = ,-111.00, YAxis = ,-283.00, Heading = ,4.34, Degress = ,248.58
 XAxis = ,-122.00, YAxis = ,-322.00, Heading = ,4.35, Degress = ,249.25
 XAxis = ,-145.00, YAxis = ,-318.00, Heading = ,4.28, Degress = ,245.49
 XAxis = ,-134.00, YAxis = ,-281.00, Heading = ,4.27, Degress = ,244.51
 XAxis = ,-115.00, YAxis = ,-299.00, Heading = ,4.35, Degress = ,248.96
 XAxis = ,-167.00, YAxis = ,-314.00, Heading = ,4.22, Degress = ,241.99
 XAxis = ,-127.00, YAxis = ,-296.00, Heading = ,4.31, Degress = ,246.78
 XAxis = ,-127.00, YAxis = ,-309.00, Heading = ,4.32, Degress = ,247.66
 XAxis = ,-131.00, YAxis = ,-314.00, Heading = ,4.32, Degress = ,247.35
 XAxis = ,-134.00, YAxis = ,-324.00, Heading = ,4.32, Degress = ,247.53
 XAxis = ,-96.00, YAxis = ,-312.00, Heading = ,4.41, Degress = ,252.90
 XAxis = ,-160.00, YAxis = ,-334.00, Heading = ,4.27, Degress = ,244.40
 XAxis = ,-96.00, YAxis = ,-314.00, Heading = ,4.42, Degress = ,253.00
 XAxis = ,-190.00, YAxis = ,-301.00, Heading = ,4.15, Degress = ,237.74
 XAxis = ,-115.00, YAxis = ,-317.00, Heading = ,4.36, Degress = ,250.06
 XAxis = ,-174.00, YAxis = ,-312.00, Heading = ,4.20, Degress = ,240.85
