XAxis = ,-361.00, YAxis = ,-361.00, Heading = ,4.00, Degress = ,229.43
 XAxis = ,360.00, YAxis = ,360.00, Heading = ,0.86, Degress = ,49.43
 XAxis = ,-360.00, YAxis = ,217.00, Heading = ,2.68, Degress = ,153.35
 XAxis = ,329.00, YAxis = ,-80.00, Heading = ,6.12, Degress = ,350.77
 XAxis = ,318.00, YAxis = ,-307.00, Heading = ,5.59, Degress = ,320.44
 XAxis = ,221.00, YAxis = ,360.00, Heading = ,1.10, Degress = ,62.89
 XAxis = ,273.00, YAxis = ,104.00, Heading = ,0.44, Degress = ,25.29
 XAxis = ,-360.00, YAxis = ,-360.00, Heading = ,4.00, Degress = ,229.43
 XAxis = ,360.00, YAxis = ,-360.00, Heading = ,5.58, Degress = ,319.43
 XAxis = ,258.00, YAxis = ,292.00, Heading = ,0.92, Degress = ,52.97
 XAxis = ,-360.00, YAxis = ,177.00, Heading = ,2.76, Degress = ,158.25
 XAxis = ,283.00, YAxis = ,62.00, Heading = ,0.29, Degress = ,16.79
 XAxis = ,325.00, YAxis = ,129.00, Heading = ,0.46, Degress = ,26.08
 XAxis = ,202.00, YAxis = ,-360.00, Heading = ,5.30, Degress = ,303.73
 XAxis = ,223.00, YAxis = ,-99.00, Heading = ,5.94, Degress = ,340.49
 XAxis = ,-333.00, YAxis = ,211.00, Heading = ,2.65, Degress = ,152.07
 XAxis = ,282.00, YAxis = ,-147.00, Heading = ,5.88, Degress = ,336.90
 XAxis = ,-317.00, YAxis = ,-41.00, Heading = ,3.35, Degress = ,191.80
 XAxis = ,267.00, YAxis = ,-189.00, Heading = ,5.74, Degress = ,329.14
 XAxis = ,-307.00, YAxis = ,-28.00, Heading = ,3.31, Degress = ,189.64
 XAxis = ,294.00, YAxis = ,27.00, Heading = ,0.17, Degress = ,9.68
 XAxis = ,322.00, YAxis = ,-40.00, Heading = ,6.24, Degress = ,357.35
 XAxis = ,237.00, YAxis = ,15.00, Heading = ,0.14, Degress = ,8.05
 XAxis = ,255.00, YAxis = ,-118.00, Heading = ,5.93, Degress = ,339.60
 XAxis = ,267.00, YAxis = ,38.00, Heading = ,0.22, Degress = ,12.53
 XAxis = ,237.00, YAxis = ,93.00, Heading = ,0.45, Degress = ,25.86
 XAxis = ,267.00, YAxis = ,77.00, Heading = ,0.36, Degress = ,20.52
 XAxis = ,158.00, YAxis = ,-104.00, Heading = ,5.78, Degress = ,331.08
 XAxis = ,226.00, YAxis = ,117.00, Heading = ,0.56, Degress = ,31.80
 XAxis = ,283.00, YAxis = ,-165.00, Heading = ,5.83, Degress = ,334.19
 XAxis = ,302.00, YAxis = ,-282.00, Heading = ,5.61, Degress = ,321.39
 XAxis = ,231.00, YAxis = ,176.00, Heading = ,0.73, Degress = ,41.74
 XAxis = ,248.00, YAxis = ,-5.00, Heading = ,0.06, Degress = ,3.28
 XAxis = ,-337.00, YAxis = ,93.00, Heading = ,2.95, Degress = ,169.01
 XAxis = ,229.00, YAxis = ,72.00, Heading = ,0.38, Degress = ,21.89
 XAxis = ,-360.00, YAxis = ,156.00, Heading = ,2.81, Degress = ,161.00
 XAxis = ,237.00, YAxis = ,38.00, Heading = ,0.24, Degress = ,13.54
 XAxis = ,-202.00, YAxis = ,11.00, Heading = ,3.16, Degress = ,181.32
 XAxis = ,352.00, YAxis = ,54.00, Heading = ,0.23, Degress = ,13.16
 XAxis = ,278.00, YAxis = ,54.00, Heading = ,0.27, Degress = ,15.43
 XAxis = ,290.00, YAxis = ,-189.00, Heading = ,5.78, Degress = ,331.34
 XAxis = ,202.00, YAxis = ,-189.00, Heading = ,5.61, Degress = ,321.34
 XAxis = ,271.00, YAxis = ,54.00, Heading = ,0.27, Degress = ,15.70
 XAxis = ,209.00, YAxis = ,195.00, Heading = ,0.83, Degress = ,47.45
 XAxis = ,109.00, YAxis = ,59.00, Heading = ,0.57, Degress = ,32.86
 XAxis = ,270.00, YAxis = ,131.00, Heading = ,0.53, Degress = ,30.32
 XAxis = ,313.00, YAxis = ,-24.00, Heading = ,0.00, Degress = ,0.05
 XAxis = ,290.00, YAxis = ,-165.00, Heading = ,5.84, Degress = ,334.79
 XAxis = ,221.00, YAxis = ,-40.00, Heading = ,6.18, Degress = ,354.17
 XAxis = ,-344.00, YAxis = ,38.00, Heading = ,3.11, Degress = ,178.13
 XAxis = ,283.00, YAxis = ,-63.00, Heading = ,6.14, Degress = ,351.88
 XAxis = ,225.00, YAxis = ,-360.00, Heading = ,5.35, Degress = ,306.44
 XAxis = ,-337.00, YAxis = ,216.00, Heading = ,2.65, Degress = ,151.78
 XAxis = ,-268.00, YAxis = ,49.00, Heading = ,3.04, Degress = ,174.07
 XAxis = ,348.00, YAxis = ,-87.00, Heading = ,6.12, Degress = ,350.40
 XAxis = ,89.00, YAxis = ,58.00, Heading = ,0.65, Degress = ,37.53
 XAxis = ,-360.00, YAxis = ,-284.00, Heading = ,3.89, Degress = ,222.70
 XAxis = ,329.00, YAxis = ,64.00, Heading = ,0.27, Degress = ,15.44
 XAxis = ,202.00, YAxis = ,-224.00, Heading = ,5.52, Degress = ,316.48
 XAxis = ,-286.00, YAxis = ,49.00, Heading = ,3.05, Degress = ,174.71
 XAxis = ,355.00, YAxis = ,-7.00, Heading = ,0.06, Degress = ,3.30
 XAxis = ,-223.00, YAxis = ,-225.00, Heading = ,4.01, Degress = ,229.69
 XAxis = ,302.00, YAxis = ,-174.00, Heading = ,5.84, Degress = ,334.48
 XAxis = ,283.00, YAxis = ,200.00, Heading = ,0.69, Degress = ,39.68
 XAxis = ,290.00, YAxis = ,178.00, Heading = ,0.63, Degress = ,35.97
 XAxis = ,-201.00, YAxis = ,-112.00, Heading = ,3.73, Degress = ,213.56
 XAxis = ,209.00, YAxis = ,-50.00, Heading = ,6.13, Degress = ,350.98
 XAxis = ,283.00, YAxis = ,86.00, Heading = ,0.37, Degress = ,21.34
 XAxis = ,324.00, YAxis = ,14.00, Heading = ,0.12, Degress = ,6.91
 XAxis = ,329.00, YAxis = ,344.00, Heading = ,0.89, Degress = ,50.71
 XAxis = ,278.00, YAxis = ,-27.00, Heading = ,6.26, Degress = ,358.89
 XAxis = ,97.00, YAxis = ,309.00, Heading = ,1.34, Degress = ,77.01
 XAxis = ,-69.00, YAxis = ,-169.00, Heading = ,4.40, Degress = ,252.22
 XAxis = ,335.00, YAxis = ,-22.00, Heading = ,0.01, Degress = ,0.68
 XAxis = ,271.00, YAxis = ,-87.00, Heading = ,6.05, Degress = ,346.63
 XAxis = ,255.00, YAxis = ,253.00, Heading = ,0.86, Degress = ,49.21
 XAxis = ,318.00, YAxis = ,238.00, Heading = ,0.72, Degress = ,41.25
 XAxis = ,271.00, YAxis = ,64.00, Heading = ,0.31, Degress = ,17.72
 XAxis = ,237.00, YAxis = ,-65.00, Heading = ,6.09, Degress = ,349.10
 XAxis = ,232.00, YAxis = ,64.00, Heading = ,0.35, Degress = ,19.86
 XAxis = ,290.00, YAxis = ,-133.00, Heading = ,5.93, Degress = ,339.80
 XAxis = ,302.00, YAxis = ,86.00, Heading = ,0.35, Degress = ,20.33
 XAxis = ,260.00, YAxis = ,-12.00, Heading = ,0.03, Degress = ,1.79
 XAxis = ,278.00, YAxis = ,162.00, Heading = ,0.61, Degress = ,34.66
 XAxis = ,360.00, YAxis = ,11.00, Heading = ,0.11, Degress = ,6.18
 XAxis = ,-323.00, YAxis = ,64.00, Heading = ,3.02, Degress = ,173.23
 XAxis = ,261.00, YAxis = ,26.00, Heading = ,0.18, Degress = ,10.12
 XAxis = ,151.00, YAxis = ,-66.00, Heading = ,5.95, Degress = ,340.82
 XAxis = ,261.00, YAxis = ,86.00, Heading = ,0.40, Degress = ,22.67
 XAxis = ,250.00, YAxis = ,140.00, Heading = ,0.59, Degress = ,33.68
 XAxis = ,-174.00, YAxis = ,52.00, Heading = ,2.93, Degress = ,167.79
 XAxis = ,257.00, YAxis = ,238.00, Heading = ,0.82, Degress = ,47.24
 XAxis = ,239.00, YAxis = ,126.00, Heading = ,0.56, Degress = ,32.23
 XAxis = ,324.00, YAxis = ,11.00, Heading = ,0.11, Degress = ,6.38
 XAxis = ,306.00, YAxis = ,49.00, Heading = ,0.24, Degress = ,13.53
 XAxis = ,156.00, YAxis = ,124.00, Heading = ,0.75, Degress = ,42.91
 XAxis = ,194.00, YAxis = ,140.00, Heading = ,0.70, Degress = ,40.25
 XAxis = ,212.00, YAxis = ,26.00, Heading = ,0.20, Degress = ,11.43
 XAxis = ,301.00, YAxis = ,253.00, Heading = ,0.78, Degress = ,44.48
